focal,file,FileName,timestamp,date,time,individual,sex,age,location.long,location.lat,nutcracking,1st_arrival_ground,1st_strike_min,resource,n_nuts,fragmented,n_success,n_cons_ground,n_cons_tree,n_cons_unknown,obs
2022-08-02_0815_MVI_2775,2022-08-02_0815_MVI_2775,2022-08-02_0815_MVI_2775.MP4,8/2/2022 8:15,8/2/2022,8:15:00,Fabiano,male,adult,-40.8956,-3.82635,0,,,,,,,,,,
2022-08-02_0831_MVI_2779,2022-08-02_0831_MVI_2779,2022-08-02_0831_MVI_2779.MP4,8/2/2022 8:31,8/2/2022,8:31:00,Fabiano,male,adult,-40.8953,-3.82629,0,,,,,,,,,,
2022-08-02_0847_MVI_2782,2022-08-02_0847_MVI_2782,2022-08-02_0847_MVI_2782.MP4,8/2/2022 8:47,8/2/2022,8:47:00,Fabiano,male,adult,-40.89494,-3.82624,0,,,,,,,,,,
2022-08-02_0905_MVI_2787,2022-08-02_0905_MVI_2787,2022-08-02_0905_MVI_2787.MP4,8/2/2022 9:05,8/2/2022,9:05:00,Fabiano,male,adult,-40.89455,-3.82607,0,,,,,,,,,,
2022-08-02_0953_MVI_2791,2022-08-02_0953_MVI_2791,2022-08-02_0953_MVI_2791.MP4,8/2/2022 9:53,8/2/2022,9:53:00,Fabiano,male,adult,-40.89344,-3.8258,0,,,,,,,,,,
2022-08-02_1038_MVI_2801,2022-08-02_1038_MVI_2801,2022-08-02_1038_MVI_2801.MP4,8/2/2022 10:38,8/2/2022,10:38:00,Fabiano,male,adult,-40.89249,-3.82594,1,1,5,macauba,1,0,1,0,1,0,
2022-08-02_1055_MVI_2807,2022-08-02_1055_MVI_2807,2022-08-02_1055_MVI_2807.MP4,8/2/2022 10:55,8/2/2022,10:55:00,Fabiano,male,adult,-40.89254,-3.82619,1,1,1,macauba,1,0,1,0,1,0,
2022-08-02_1111_MVI_2812,2022-08-02_1111_MVI_2812,2022-08-02_1111_MVI_2812.MP4,8/2/2022 11:11,8/2/2022,11:11:00,Fabiano,male,adult,-40.89249,-3.82623,0,,,,,,,,,,
2022-08-02_1128_MVI_2816,2022-08-02_1128_MVI_2816,2022-08-02_1128_MVI_2816.MP4,8/2/2022 11:28,8/2/2022,11:28:00,Fabiano,male,adult,-40.89195,-3.82564,0,,,,,,,,,,
2022-08-02_1152_MVI_2821,2022-08-02_1152_MVI_2821,2022-08-02_1152_MVI_2821.MP4,8/2/2022 11:52,8/2/2022,11:52:00,Fabiano,male,adult,-40.89186,-3.82556,1,1,5,macauba,1,0,1,0,1,0,
