grid_id,subplot,rawstones_count_subplot
1,1A,0
1,1B,4
1,1C,0
2,2A,3
2,2B,1
2,2C,0
3,3A,4
3,3B,1
3,3C,4
4,4A,1
4,4B,10
4,4C,11
5,5A,3
5,5B,15
5,5C,16
6,6A,41
6,6B,28
6,6C,79
7,7A,27
7,7B,21
7,7C,16
8,8A,5
8,8B,67
8,8C,78
9,9A,14
9,9B,6
9,9C,39
10,10A,58
10,10B,101
10,10C,17
11,11A,9
11,11B,0
11,11C,21
12,12A,5
12,12B,0
12,12C,7
13,13A,0
13,13B,17
13,13C,1100
14,14A,4
14,14B,6
14,14C,0
15,15A,16
15,15B,14
15,15C,50
16,16A,78
16,16B,111
16,16C,23
17,17A,16
17,17B,65
17,17C,2
18,18A,38
18,18B,7
18,18C,122
19,19A,91
19,19B,77
19,19C,71
20,20A,6
20,20B,66
20,20C,1
21,21A,5
21,21B,16
21,21C,39
22,22A,78
22,22B,53
22,22C,4
23,23A,77
23,23B,12
23,23C,3
24,24A,3
24,24B,28
24,24C,10
25,25A,6
25,25B,9
25,25C,6
26,26A,6
26,26B,22
26,26C,17
27,27A,153
27,27B,5
27,27C,99
28,28A,17
28,28B,6
28,28C,13
29,29A,6
29,29B,0
29,29C,0
30,30A,21
30,30B,69
30,30C,14
31,31A,46
31,31B,51
31,31C,25
32,32A,1
32,32B,8
32,32C,6
33,33A,3
33,33B,11
33,33C,15
34,34A,1
34,34B,42
34,34C,26
35,35A,12
35,35B,2
35,35C,1
36,36A,11
36,36B,56
36,36C,2
37,37A,0
37,37B,3
37,37C,30
38,38A,3
38,38B,421
38,38C,7
39,39A,28
39,39B,2
39,39C,29
40,40A,19
40,40B,23
40,40C,49
