focal,timestamp,individual,sex,age,location.long,location.lat,focal_begin,nutcracking
2022-08-02_0815_MVI_2775,2022-08-02 08:15:00,Fabiano,male,adult,-40.89560,-3.82635,1,0
2022-08-02_0831_MVI_2779,2022-08-02 08:31:00,Fabiano,male,adult,-40.89530,-3.82629,1,0
2022-08-02_0847_MVI_2782,2022-08-02 08:47:00,Fabiano,male,adult,-40.89494,-3.82624,1,0
2022-08-02_0905_MVI_2787,2022-08-02 09:05:00,Fabiano,male,adult,-40.89455,-3.82607,1,0
2022-08-02_0953_MVI_2791,2022-08-02 09:53:00,Fabiano,male,adult,-40.89344,-3.82580,1,0
2022-08-02_1038_MVI_2801,2022-08-02 10:38:00,Fabiano,male,adult,-40.89249,-3.82594,1,1
2022-08-02_1055_MVI_2807,2022-08-02 10:55:00,Fabiano,male,adult,-40.89254,-3.82619,1,1
2022-08-02_1111_MVI_2812,2022-08-02 11:11:00,Fabiano,male,adult,-40.89249,-3.82623,1,0
2022-08-02_1128_MVI_2816,2022-08-02 11:28:00,Fabiano,male,adult,-40.89195,-3.82564,1,0
2022-08-02_1152_MVI_2821,2022-08-02 11:52:00,Fabiano,male,adult,-40.89186,-3.82556,1,1
2022-08-02_1209_MVI_2829,2022-08-02 12:09:00,Fabiano,male,adult,-40.89152,-3.82580,1,0
2022-08-02_1226_MVI_2832,2022-08-02 12:26:00,Fabiano,male,adult,-40.89180,-3.82600,1,0
2022-08-02_1243_MVI_2835,2022-08-02 12:43:00,Fabiano,male,adult,-40.89186,-3.82567,1,0
2022-08-02_1301_MVI_2839,2022-08-02 13:01:00,Fabiano,male,adult,-40.89190,-3.82573,1,0
2022-08-02_1323_MVI_2844,2022-08-02 13:23:00,Fabiano,male,adult,-40.89231,-3.82594,1,1
2022-08-02_1343_MVI_2854,2022-08-02 13:43:00,Fabiano,male,adult,-40.89267,-3.82618,1,1
2022-08-02_1359_MVI_2859,2022-08-02 13:59:00,Fabiano,male,adult,-40.89274,-3.82615,1,0
2022-08-02_1416_MVI_2865,2022-08-02 14:16:00,Fabiano,male,adult,-40.89297,-3.82638,1,1
2022-08-02_1435_MVI_2871,2022-08-02 14:35:00,Fabiano,male,adult,-40.89277,-3.82656,1,0
2022-08-02_1519_MVI_2886,2022-08-02 15:19:00,Fabiano,male,adult,-40.89310,-3.82702,1,0
2022-08-02_1535_MVI_2889,2022-08-02 15:35:00,Fabiano,male,adult,-40.89305,-3.82723,1,0
2022-08-02_1551_MVI_2893,2022-08-02 15:51:00,Fabiano,male,adult,-40.89342,-3.82757,1,0
