focal,timestamp,individual,sex,age,location.long,location.lat,focal_begin,nutcracking,season
2022-08-02_0815_MVI_2775,8/2/2022 8:15,Fabiano,male,adult,-40.8956,-3.82635,1,0,dry
2022-08-02_0815_MVI_2775,8/2/2022 8:15,Fabiano,male,adult,-40.89558,-3.82637,0,0,dry
2022-08-02_0831_MVI_2779,8/2/2022 8:31,Fabiano,male,adult,-40.8953,-3.82629,1,0,dry
2022-08-02_0831_MVI_2779,8/2/2022 8:31,Fabiano,male,adult,-40.89513,-3.82621,0,0,dry
2022-08-02_0847_MVI_2782,8/2/2022 8:47,Fabiano,male,adult,-40.89494,-3.82624,1,0,dry
2022-08-02_0847_MVI_2782,8/2/2022 8:47,Fabiano,male,adult,-40.89484,-3.82621,0,0,dry
2022-08-02_0905_MVI_2787,8/2/2022 9:05,Fabiano,male,adult,-40.89455,-3.82607,1,0,dry
2022-08-02_0905_MVI_2787,8/2/2022 9:05,Fabiano,male,adult,-40.89448,-3.8261,0,0,dry
2022-08-02_0953_MVI_2791,8/2/2022 9:53,Fabiano,male,adult,-40.89344,-3.8258,1,0,dry
2022-08-02_0953_MVI_2791,8/2/2022 9:53,Fabiano,male,adult,-40.89339,-3.82576,0,0,dry
2022-08-02_1038_MVI_2801,8/2/2022 10:38,Fabiano,male,adult,-40.89249,-3.82594,1,1,dry
2022-08-02_1038_MVI_2801,8/2/2022 10:38,Fabiano,male,adult,-40.89254,-3.82621,0,1,dry
2022-08-02_1055_MVI_2807,8/2/2022 10:55,Fabiano,male,adult,-40.89254,-3.82619,1,1,dry
2022-08-02_1055_MVI_2807,8/2/2022 10:55,Fabiano,male,adult,-40.89254,-3.8262,0,1,dry
2022-08-02_1111_MVI_2812,8/2/2022 11:11,Fabiano,male,adult,-40.89249,-3.82623,1,0,dry
2022-08-02_1111_MVI_2812,8/2/2022 11:11,Fabiano,male,adult,-40.89237,-3.82623,0,0,dry
2022-08-02_1128_MVI_2816,8/2/2022 11:28,Fabiano,male,adult,-40.89195,-3.82564,1,0,dry
2022-08-02_1128_MVI_2816,8/2/2022 11:28,Fabiano,male,adult,-40.89196,-3.8257,0,0,dry
2022-08-02_1152_MVI_2821,8/2/2022 11:52,Fabiano,male,adult,-40.89186,-3.82556,1,1,dry
2022-08-02_1152_MVI_2821,8/2/2022 11:52,Fabiano,male,adult,-40.89177,-3.82546,0,1,dry
