sample_id,focal,minute,timestamp,individual,sex,age,height,nutcracking
2022-08-02_0815_MVI_2775_0,2022-08-02_0815_MVI_2775,0,2022-08-02 08:15:00,Fabiano,male,adult,0,0
2022-08-02_0831_MVI_2779_0,2022-08-02_0831_MVI_2779,0,2022-08-02 08:31:00,Fabiano,male,adult,0,0
2022-08-02_0847_MVI_2782_0,2022-08-02_0847_MVI_2782,0,2022-08-02 08:47:00,Fabiano,male,adult,0,0
2022-08-02_0905_MVI_2787_0,2022-08-02_0905_MVI_2787,0,2022-08-02 09:05:00,Fabiano,male,adult,0,0
2022-08-02_0953_MVI_2791_0,2022-08-02_0953_MVI_2791,0,2022-08-02 09:53:00,Fabiano,male,adult,0,0
2022-08-02_1038_MVI_2801_0,2022-08-02_1038_MVI_2801,0,2022-08-02 10:38:00,Fabiano,male,adult,7,1
2022-08-02_1055_MVI_2807_0,2022-08-02_1055_MVI_2807,0,2022-08-02 10:55:00,Fabiano,male,adult,2.5,1
2022-08-02_1111_MVI_2812_0,2022-08-02_1111_MVI_2812,0,2022-08-02 11:11:00,Fabiano,male,adult,0.5,0
2022-08-02_1128_MVI_2816_0,2022-08-02_1128_MVI_2816,0,2022-08-02 11:28:00,Fabiano,male,adult,5,0
2022-08-02_1152_MVI_2821_0,2022-08-02_1152_MVI_2821,0,2022-08-02 11:52:00,Fabiano,male,adult,1,1
2022-08-02_1209_MVI_2829_0,2022-08-02_1209_MVI_2829,0,2022-08-02 12:09:00,Fabiano,male,adult,5,0
2022-08-02_1226_MVI_2832_0,2022-08-02_1226_MVI_2832,0,2022-08-02 12:26:00,Fabiano,male,adult,0.5,0
2022-08-02_1243_MVI_2835_0,2022-08-02_1243_MVI_2835,0,2022-08-02 12:43:00,Fabiano,male,adult,5,0
2022-08-02_1301_MVI_2839_0,2022-08-02_1301_MVI_2839,0,2022-08-02 13:01:00,Fabiano,male,adult,3.5,0
2022-08-02_1323_MVI_2844_0,2022-08-02_1323_MVI_2844,0,2022-08-02 13:23:00,Fabiano,male,adult,1.5,1
2022-08-02_1343_MVI_2854_0,2022-08-02_1343_MVI_2854,0,2022-08-02 13:43:00,Fabiano,male,adult,0,1
2022-08-02_1359_MVI_2859_0,2022-08-02_1359_MVI_2859,0,2022-08-02 13:59:00,Fabiano,male,adult,0,0
2022-08-02_1416_MVI_2865_0,2022-08-02_1416_MVI_2865,0,2022-08-02 14:16:00,Fabiano,male,adult,0,1
2022-08-02_1435_MVI_2871_0,2022-08-02_1435_MVI_2871,0,2022-08-02 14:35:00,Fabiano,male,adult,1.8,0
2022-08-02_1519_MVI_2886_0,2022-08-02_1519_MVI_2886,0,2022-08-02 15:19:00,Fabiano,male,adult,0,0
2022-08-02_1535_MVI_2889_0,2022-08-02_1535_MVI_2889,0,2022-08-02 15:35:00,Fabiano,male,adult,0,0
2022-08-02_1551_MVI_2893_0,2022-08-02_1551_MVI_2893,0,2022-08-02 15:51:00,Fabiano,male,adult,8.5,0
2022-08-02_1608_MVI_2895_0,2022-08-02_1608_MVI_2895,0,2022-08-02 16:08:00,Fabiano,male,adult,9,0
2022-08-02_1623_MVI_2898_0,2022-08-02_1623_MVI_2898,0,2022-08-02 16:23:00,Fabiano,male,adult,7,0
2022-08-02_1636_MVI_2901_0,2022-08-02_1636_MVI_2901,0,2022-08-02 16:36:00,Fabiano,male,adult,10,0
2022-08-02_1653_MVI_2905_0,2022-08-02_1653_MVI_2905,0,2022-08-02 16:53:00,Fabiano,male,adult,14,0
2022-08-02_1713_MVI_2912_0,2022-08-02_1713_MVI_2912,0,2022-08-02 17:13:00,Fabiano,male,adult,8,1
2022-08-02_1739_MVI_2918_0,2022-08-02_1739_MVI_2918,0,2022-08-02 17:39:00,Fabiano,male,adult,13,0
2022-08-03_1103_MVI_2922_0,2022-08-03_1103_MVI_2922,0,2022-08-03 11:03:00,Cordel,female,adult,6,0
2022-08-03_1122_MVI_2927_0,2022-08-03_1122_MVI_2927,0,2022-08-03 11:22:00,Cordel,female,adult,4.5,0
2022-08-03_1148_MVI_2933_0,2022-08-03_1148_MVI_2933,0,2022-08-03 11:48:00,Cordel,female,adult,1,1
2022-08-03_1214_MVI_2943_0,2022-08-03_1214_MVI_2943,0,2022-08-03 12:14:00,Cordel,female,adult,12,0
2022-08-03_1230_MVI_2948_0,2022-08-03_1230_MVI_2948,0,2022-08-03 12:30:00,Cordel,female,adult,6,0
2022-08-03_1252_MVI_2958_0,2022-08-03_1252_MVI_2958,0,2022-08-03 12:52:00,Cordel,female,adult,0,1
2022-08-03_1308_MVI_2963_0,2022-08-03_1308_MVI_2963,0,2022-08-03 13:08:00,Cordel,female,adult,1,0
2022-08-03_1329_MVI_2967_0,2022-08-03_1329_MVI_2967,0,2022-08-03 13:29:00,Cordel,female,adult,0.5,0
2022-08-05_0942_MVI_2986_0,2022-08-05_0942_MVI_2986,0,2022-08-05 09:42:00,Maria Moura,female,adult,0,0
2022-08-05_0959_MVI_2991_0,2022-08-05_0959_MVI_2991,0,2022-08-05 09:59:00,Maria Moura,female,adult,0,1
