timestamp,individual,location.lat,location.long,sex,season
8/2/2022 8:19,Fabiano,-3.82639,-40.89533,male,dry
8/2/2022 10:41,Fabiano,-3.82622,-40.89243,male,dry
8/2/2022 10:48,Fabiano,-3.82612,-40.89261,male,dry
8/2/2022 11:03,Fabiano,-3.82621,-40.89251,male,dry
8/2/2022 11:03,Fabiano,-3.82622,-40.89252,male,dry
8/2/2022 11:15,Fabiano,-3.82624,-40.89252,male,dry
8/2/2022 11:50,Fabiano,-3.82539,-40.89183,male,dry
8/2/2022 12:01,Fabiano,-3.82562,-40.89204,male,dry
8/2/2022 12:54,Fabiano,-3.82619,-40.89276,male,dry
8/2/2022 13:02,Fabiano,-3.82549,-40.89204,male,dry
8/2/2022 13:17,Fabiano,-3.82586,-40.89224,male,dry
8/2/2022 13:23,Fabiano,-3.82597,-40.89239,male,dry
8/2/2022 13:52,Fabiano,-3.82613,-40.89262,male,dry
8/2/2022 13:57,Fabiano,-3.82619,-40.89267,male,dry
8/2/2022 14:06,Fabiano,-3.8264,-40.89299,male,dry
8/2/2022 14:14,Fabiano,-3.82626,-40.89306,male,dry
8/2/2022 14:25,Fabiano,-3.82627,-40.89305,male,dry
8/2/2022 14:30,Fabiano,-3.82647,-40.89293,male,dry
8/2/2022 17:00,Fabiano,-3.82758,-40.8951,male,dry
8/2/2022 17:14,Fabiano,-3.82753,-40.89518,male,dry
8/3/2022 11:30,Cordel,-3.8268,-40.89525,female,dry
8/3/2022 11:50,Cordel,-3.82685,-40.8951,female,dry
8/3/2022 12:20,Cordel,-3.82735,-40.89423,female,dry
8/3/2022 12:36,Cordel,-3.82738,-40.89487,female,dry
8/3/2022 12:40,Cordel,-3.82753,-40.89521,female,dry
8/3/2022 12:54,Cordel,-3.82771,-40.89458,female,dry
8/3/2022 12:56,Cordel,-3.82778,-40.89463,female,dry
8/3/2022 13:57,Cordel,-3.82784,-40.89474,female,dry
8/3/2022 14:13,Canjica,-3.8279,-40.89471,male,dry
8/3/2022 14:31,Cordel,-3.82795,-40.89467,female,dry
8/3/2022 14:47,Mucunzá,-3.82801,-40.89474,male,dry
8/5/2022 9:58,Maria Moura,-3.82654,-40.89567,female,dry
8/5/2022 9:59,Maria Moura,-3.82631,-40.89573,female,dry
8/5/2022 10:02,Maria Moura,-3.82671,-40.89572,female,dry
8/5/2022 10:42,Maria Moura,-3.82599,-40.89565,female,dry
8/5/2022 10:43,Maria Moura,-3.82602,-40.89557,female,dry
8/6/2022 12:45,Tapioca,-3.82606,-40.8957,female,dry
8/6/2022 16:40,Tapioca,-3.82675,-40.89363,female,dry
8/7/2022 6:53,Chicó,-3.827,-40.89306,male,dry
8/7/2022 7:06,Chicó,-3.82678,-40.89291,male,dry
8/7/2022 7:12,Chicó,-3.82714,-40.89278,male,dry
8/7/2022 8:54,Chicó,-3.82632,-40.89237,male,dry
8/7/2022 9:35,Chicó,-3.82668,-40.89226,male,dry
8/7/2022 11:23,Chicó,-3.82697,-40.89272,male,dry
8/7/2022 11:30,Chicó,-3.8269,-40.89272,male,dry
8/7/2022 11:34,Chicó,-3.82696,-40.89281,male,dry
8/7/2022 11:40,Chicó,-3.82708,-40.89268,male,dry
8/7/2022 14:08,Chicó,-3.82674,-40.89353,male,dry
8/7/2022 14:37,Chicó,-3.82677,-40.89355,male,dry
8/7/2022 16:25,Chicó,-3.82771,-40.89517,male,dry
8/7/2022 16:28,Chicó,-3.82768,-40.89513,male,dry
8/10/2022 8:46,Maria Bonita,-3.82673,-40.89507,female,dry
8/10/2022 9:12,Maria Bonita,-3.82662,-40.89489,female,dry
8/10/2022 9:14,Maria Bonita,-3.8268,-40.89506,female,dry
8/10/2022 9:35,Maria Bonita,-3.82669,-40.89513,female,dry
8/10/2022 10:57,Maria Bonita,-3.82733,-40.89349,female,dry
8/10/2022 11:20,Maria Bonita,-3.82719,-40.89337,female,dry
8/10/2022 17:16,Maria Bonita,-3.82687,-40.895,female,dry
8/11/2022 7:45,Cajuína,-3.82658,-40.89365,female,dry
8/11/2022 7:45,Cajuína,-3.82684,-40.89361,female,dry
8/11/2022 7:50,Cajuína,-3.82686,-40.89369,female,dry
8/11/2022 10:00,Cajuína,-3.82652,-40.89197,female,dry
8/11/2022 10:50,Cajuína,-3.82565,-40.89175,female,dry
8/11/2022 11:03,Cajuína,-3.82585,-40.89128,female,dry
8/11/2022 14:06,Cajuína,-3.82758,-40.89512,female,dry
8/11/2022 15:20,Cajuína,-3.82781,-40.89798,female,dry
8/11/2022 15:54,Cajuína,-3.8276,-40.89855,female,dry
8/11/2022 16:53,Fabiano,-3.82571,-40.90036,male,dry
8/11/2022 17:23,Fabiano,-3.82565,-40.90029,male,dry
8/12/2022 8:20,Baião,-3.82736,-40.89726,male,dry
8/12/2022 8:25,Baião,-3.82737,-40.89718,male,dry
8/12/2022 9:07,Baião,-3.8273,-40.89656,male,dry
8/12/2022 9:12,Baião,-3.82729,-40.89656,male,dry
8/12/2022 12:18,Baião,-3.82735,-40.89473,male,dry
8/12/2022 13:31,Baião,-3.82727,-40.89517,male,dry
8/12/2022 14:25,Baião,-3.8272,-40.89509,male,dry
8/12/2022 16:25,Baião,-3.82732,-40.89759,male,dry
8/13/2022 8:08,Xote,-3.82732,-40.8975,female,dry
8/13/2022 8:13,Xote,-3.82733,-40.89748,female,dry
8/13/2022 8:15,Xote,-3.82745,-40.8974,female,dry
8/13/2022 9:16,Xote,-3.82743,-40.89751,female,dry
8/13/2022 9:25,Xote,-3.8273,-40.89748,female,dry
8/13/2022 9:50,Xote,-3.82735,-40.89746,female,dry
8/13/2022 10:05,Xote,-3.82739,-40.89773,female,dry
8/13/2022 11:17,João Grilo,-3.8275,-40.89769,male,dry
8/13/2022 12:02,Xote,-3.82815,-40.89856,female,dry
8/13/2022 13:54,Xote,-3.82753,-40.89948,female,dry
8/13/2022 15:10,Fabiano,-3.82654,-40.90038,male,dry
8/13/2022 15:38,Maria Moura,-3.82595,-40.90066,female,dry
8/14/2022 7:44,Mucunzá,-3.82658,-40.89528,male,dry
8/14/2022 8:42,Mucunzá,-3.8262,-40.89563,male,dry
8/14/2022 8:52,Mucunzá,-3.82723,-40.89418,male,dry
8/14/2022 9:14,Mucunzá,-3.82667,-40.89511,male,dry
8/14/2022 10:02,Mucunzá,-3.82728,-40.89427,male,dry
8/14/2022 10:30,Mucunzá,-3.82747,-40.8947,male,dry
8/14/2022 10:35,Mucunzá,-3.8275,-40.89443,male,dry
8/14/2022 11:27,Mucunzá,-3.8274,-40.89446,male,dry
8/14/2022 13:01,Mucunzá,-3.82726,-40.89376,male,dry
8/14/2022 13:27,Mucunzá,-3.82717,-40.89394,male,dry
8/14/2022 13:35,Mucunzá,-3.82663,-40.89424,male,dry
8/14/2022 13:37,Mucunzá,-3.82714,-40.89345,male,dry
8/14/2022 14:09,Mucunzá,-3.82734,-40.89434,male,dry
8/17/2022 10:35,Mucunzá,-3.82611,-40.89859,male,dry
8/17/2022 10:47,Fabiano,-3.82618,-40.89928,male,dry
8/17/2022 10:49,Fabiano,-3.82616,-40.89927,male,dry
8/17/2022 10:58,Mucunzá,-3.82646,-40.89913,male,dry
8/17/2022 12:38,Fabiano,-3.8266,-40.89888,male,dry
8/17/2022 12:52,Maria Moura,-3.82642,-40.89945,female,dry
8/17/2022 12:59,Maria Moura,-3.82678,-40.89905,female,dry
8/17/2022 13:03,Cuscuz,-3.82686,-40.89905,male,dry
8/17/2022 13:25,Maria Bonita,-3.82716,-40.89874,female,dry
8/17/2022 13:38,Baleia,-3.82734,-40.89895,female,dry
8/17/2022 14:20,João Grilo,-3.8271,-40.89965,male,dry
8/17/2022 14:45,João Grilo,-3.82693,-40.89943,male,dry
8/17/2022 14:50,Canjica,-3.82714,-40.89969,male,dry
8/18/2022 11:12,Conceição,-3.82737,-40.8986,female,dry
8/18/2022 11:21,Conceição,-3.82721,-40.8984,female,dry
