"","mean","sd","5.5%","94.5%"
"bnp",1.636184566575,0.147759892581669,1.4011974995,1.8716531715
"bnl",-0.5637655730625,0.0433804219023334,-0.63636180005,-0.4950135691
"alh",1.901912389225,0.0339888264437315,1.8477726405,1.956566177
"aph",-1.981058381275,0.177876582459831,-2.262686422,-1.7001945115
"aln",-1.2046635646225,0.122150952401339,-1.406875917,-1.0188480035
"apn",1.5516572538275,0.278379264922194,1.1232579505,1.994621556
"sigma_id[1]",0.7504762974175,0.208126668110474,0.4712506783,1.1201989195
"sigma_id[2]",0.3152681373675,0.100890147477497,0.1913103715,0.48909391085
"sigma_id[3]",0.51765391774,0.103665267006398,0.3756735202,0.6979346478
"sigma_id[4]",0.3789804280375,0.0923169475772185,0.25354122535,0.5406265505
"sigma_id[5]",0.1024860835425,0.0197849985779134,0.076394021435,0.1367844385
"sigma_id[6]",0.09641423156225,0.0285703536667761,0.057724409465,0.1449311123
"sigma_grid[1]",1.0419119613375,0.210870957067183,0.7539157118,1.4030646765
"sigma_grid[2]",0.206254840570013,0.0967137863901534,0.06231271707,0.37252657895
"sigma_grid[3]",0.6751679290625,0.0894812856589599,0.5464163764,0.82817479115
"sigma_grid[4]",0.43175280228,0.0920956865391164,0.3007204696,0.59849310145
"sigma_grid[5]",0.12943837070325,0.0184650988684829,0.1028174149,0.1604322564
"sigma_grid[6]",0.12319698486375,0.0291599500639212,0.081732200445,0.1753280534
"scale",1.971810774075,0.0259059881554183,1.9295365065,2.0135314785
"Rho_grid[1,1]",1,0,1,1
"Rho_grid[2,1]",-0.0141591484958343,0.260072350725639,-0.4285585922,0.3979328346
"Rho_grid[3,1]",0.27646541612927,0.168826805366861,-0.015344749985,0.53241177015
"Rho_grid[4,1]",0.089332380281424,0.213721316665524,-0.2563440777,0.42970456035
"Rho_grid[5,1]",0.10478971949984,0.184161591605381,-0.19529171,0.39629549775
"Rho_grid[6,1]",-0.415214202375655,0.211228972007979,-0.72427100665,-0.0496199355049995
"Rho_grid[1,2]",-0.0141591484958343,0.260072350725639,-0.4285585922,0.3979328346
"Rho_grid[2,2]",1,0,1,1
"Rho_grid[3,2]",-0.0126870952900473,0.258235833258683,-0.43518881415,0.39777079045
"Rho_grid[4,2]",0.215913039462688,0.234077610563598,-0.17246441035,0.57943226595
"Rho_grid[5,2]",-0.090923830084295,0.265425112269425,-0.4943321583,0.344513773300001
"Rho_grid[6,2]",0.07605535861412,0.250890866665946,-0.3344281471,0.470693832
"Rho_grid[1,3]",0.27646541612927,0.168826805366861,-0.015344749985,0.53241177015
"Rho_grid[2,3]",-0.0126870952900473,0.258235833258683,-0.43518881415,0.39777079045
"Rho_grid[3,3]",1,0,1,1
"Rho_grid[4,3]",-0.495479862089122,0.190663330190833,-0.76956780305,-0.1638119616
"Rho_grid[5,3]",-0.481553729109675,0.131679095635189,-0.6765436288,-0.25622451895
"Rho_grid[6,3]",0.0561388677932873,0.217160315699763,-0.30215257875,0.396519098
"Rho_grid[1,4]",0.089332380281424,0.213721316665524,-0.2563440777,0.42970456035
"Rho_grid[2,4]",0.215913039462688,0.234077610563598,-0.17246441035,0.57943226595
"Rho_grid[3,4]",-0.495479862089122,0.190663330190833,-0.76956780305,-0.1638119616
"Rho_grid[4,4]",1,0,1,1
"Rho_grid[5,4]",0.247482370283783,0.202805083771652,-0.09388779096,0.5624320717
"Rho_grid[6,4]",-0.271584018846724,0.197776468493971,-0.5787762174,0.061038772815
"Rho_grid[1,5]",0.10478971949984,0.184161591605381,-0.19529171,0.39629549775
"Rho_grid[2,5]",-0.090923830084295,0.265425112269425,-0.4943321583,0.344513773300001
"Rho_grid[3,5]",-0.481553729109675,0.131679095635189,-0.6765436288,-0.25622451895
"Rho_grid[4,5]",0.247482370283783,0.202805083771652,-0.09388779096,0.5624320717
"Rho_grid[5,5]",1,0,1,1
"Rho_grid[6,5]",-0.423236356442735,0.209307721093743,-0.72650631545,-0.0677175169049998
"Rho_grid[1,6]",-0.415214202375655,0.211228972007979,-0.72427100665,-0.0496199355049995
"Rho_grid[2,6]",0.07605535861412,0.250890866665946,-0.3344281471,0.470693832
"Rho_grid[3,6]",0.0561388677932873,0.217160315699763,-0.30215257875,0.396519098
"Rho_grid[4,6]",-0.271584018846724,0.197776468493971,-0.5787762174,0.061038772815
"Rho_grid[5,6]",-0.423236356442735,0.209307721093743,-0.72650631545,-0.0677175169049998
"Rho_grid[6,6]",1,0,1,1
"Rho_id[1,1]",1,0,1,1
"Rho_id[2,1]",0.284011585681165,0.267771456406048,-0.17009949775,0.69063165795
"Rho_id[3,1]",-0.0299888121471758,0.200061220935127,-0.3468823752,0.29140581695
"Rho_id[4,1]",0.23425774174834,0.239305174328796,-0.1645138058,0.60231038715
"Rho_id[5,1]",0.316899185174157,0.189233858363967,-0.00092627742290002,0.60466971705
"Rho_id[6,1]",-0.091399269929492,0.254357898219405,-0.4937782208,0.3287661002
"Rho_id[1,2]",0.284011585681165,0.267771456406048,-0.17009949775,0.69063165795
"Rho_id[2,2]",1,0,1,1
"Rho_id[3,2]",-0.14060409897977,0.205503210001402,-0.45309634285,0.1962368181
"Rho_id[4,2]",0.1906263357302,0.222904762889217,-0.17850964345,0.5346912669
"Rho_id[5,2]",0.185523764378825,0.208479433849835,-0.1640131327,0.50400073925
"Rho_id[6,2]",0.0302555021413572,0.237067302310668,-0.3531119008,0.40951673695
"Rho_id[1,3]",-0.0299888121471758,0.200061220935127,-0.3468823752,0.29140581695
"Rho_id[2,3]",-0.14060409897977,0.205503210001402,-0.45309634285,0.1962368181
"Rho_id[3,3]",1,0,1,1
"Rho_id[4,3]",-0.455145013127428,0.186569118506485,-0.72634211275,-0.12879226705
"Rho_id[5,3]",-0.438721055305787,0.173653087867419,-0.69380047865,-0.14006478955
"Rho_id[6,3]",0.223457253903792,0.222210290595175,-0.1474740259,0.5575171607
"Rho_id[1,4]",0.23425774174834,0.239305174328796,-0.1645138058,0.60231038715
"Rho_id[2,4]",0.1906263357302,0.222904762889217,-0.17850964345,0.5346912669
"Rho_id[3,4]",-0.455145013127428,0.186569118506485,-0.72634211275,-0.12879226705
"Rho_id[4,4]",1,0,1,1
"Rho_id[5,4]",0.280555001390204,0.200779133593006,-0.059681789715,0.5854857852
"Rho_id[6,4]",-0.16392515466453,0.226909212023819,-0.51705115295,0.21356304785
"Rho_id[1,5]",0.316899185174157,0.189233858363967,-0.00092627742290002,0.60466971705
"Rho_id[2,5]",0.185523764378825,0.208479433849835,-0.1640131327,0.50400073925
"Rho_id[3,5]",-0.438721055305787,0.173653087867419,-0.69380047865,-0.14006478955
"Rho_id[4,5]",0.280555001390204,0.200779133593006,-0.059681789715,0.5854857852
"Rho_id[5,5]",1,0,1,1
"Rho_id[6,5]",-0.247598061966699,0.21184797478587,-0.57315762155,0.10480036005
"Rho_id[1,6]",-0.091399269929492,0.254357898219405,-0.4937782208,0.3287661002
"Rho_id[2,6]",0.0302555021413572,0.237067302310668,-0.3531119008,0.40951673695
"Rho_id[3,6]",0.223457253903792,0.222210290595175,-0.1474740259,0.5575171607
"Rho_id[4,6]",-0.16392515466453,0.226909212023819,-0.51705115295,0.21356304785
"Rho_id[5,6]",-0.247598061966699,0.21184797478587,-0.57315762155,0.10480036005
"Rho_id[6,6]",1,0,1,1
