"","mean","sd","5.5%","94.5%"
"al",1.9115578241,0.0279111106796417,1.8660110915,1.954877959
"bNxPTl",0.022276725339815,0.0196420819677725,-0.00746750694950001,0.054400035255
"bNxPTp",0.133157317713386,0.088037935908168,-0.002526336158,0.28062633075
"bPTl",-0.0185958158265727,0.0183258290984716,-0.047787987435,0.00960839599450002
"bPTp",-0.189252357579332,0.0823103235701941,-0.3203354449,-0.0629062848349999
"bNl",-0.5232971705475,0.0274009890225581,-0.56772113885,-0.4804897858
"bNp",1.503641475575,0.110791273699708,1.327170006,1.6839804075
"ap",-2.003860689775,0.126930723091877,-2.201111742,-1.795318703
"scale",2.0229394452,0.0260461807813148,1.981579448,2.065002154
"sigma_id[1]",0.4912755030125,0.0996163877955797,0.35438681875,0.67056387585
"sigma_id[2]",0.109072551579,0.0227877669185035,0.07877561249,0.1487202121
"sigma_id[3]",0.3634607677875,0.0910777963809068,0.23785091395,0.5262802398
"sigma_id[4]",0.0812890864593778,0.028053002906642,0.042858534365,0.12931138935
"sigma_id[5]",0.277118983091,0.0787014146061905,0.1650103968,0.41277154735
"sigma_id[6]",0.069581086511,0.0173300290010744,0.046352910675,0.1015804212
"sigma_id[7]",0.249098351872,0.0831567740783489,0.1220183732,0.3873550703
"sigma_id[8]",0.0474854045375488,0.0251136422685453,0.0090172789865,0.08846638176
