"","mean","sd","5.5%","94.5%"
"al",1.9044934306,0.0649569166482404,1.818879319,1.9902328835
"bNxSl",0.0340207157794846,0.033067226315081,-0.01695546334,0.08907242764
"bNxSp",-0.110316400612956,0.126927673399821,-0.3169556845,0.0832920705850001
"bSl",-0.0147677974376958,0.0329722423216054,-0.066359685845,0.03653191294
"bSp",0.179872071737248,0.157638641264989,-0.060085430305,0.43511304865
"bNl",-0.50257586656,0.029234025921127,-0.5505723765,-0.4567583469
"bNp",1.612312120125,0.113932824929928,1.4339776395,1.79610208
"ap",-1.9234233467275,0.247465924370992,-2.3008281975,-1.5243077395
"scale",1.9518222429,0.0256194225711147,1.912024341,1.9928408595
"sigma_id[1]",0.48518904867,0.098812715659184,0.35006845145,0.6614421349
"sigma_id[2]",0.10655716127775,0.0226240003057032,0.076765520055,0.14617280195
"sigma_id[3]",0.384472002905,0.0946395098981863,0.25222928315,0.54792926965
"sigma_id[4]",0.08977950437105,0.0288743989425929,0.050448057615,0.13976890615
"sigma_id[5]",0.4746143228775,0.127615868545502,0.30415210885,0.70090635125
"sigma_id[6]",0.0872920808675,0.0217765633753405,0.05909876437,0.1253818553
"sigma_id[7]",0.395269981281,0.117846765651829,0.2327366503,0.6008075262
"sigma_id[8]",0.092331366682975,0.0344346998972049,0.04559827264,0.15168816645
"s_bar",2.95443972295,0.293712438068726,2.4993751105,3.433510864
"etasq_s",1.838305872465,0.418493964581696,1.2578628845,2.588794993
"rhosq_s",0.832208403875,0.10262872304119,0.6831664732,1.0080090405
"z_s[1]",-2.0753105411225,0.406765475457642,-2.7401776695,-1.453997207
"z_s[2]",-1.3954183840175,0.351160731670746,-1.9790257095,-0.860397373149999
"z_s[3]",-1.25260353438425,0.315945283578809,-1.770607561,-0.7540822763
"z_s[4]",0.719649375573122,0.228789747050977,0.35964793145,1.0960756225
"z_s[5]",0.023677476730133,0.23043277097013,-0.3391339037,0.4000765754
"z_s[6]",0.9947134157225,0.222481137468225,0.6496236093,1.351454768
"z_s[7]",0.618408114620225,0.209193701966388,0.2902869229,0.9475180527
"z_s[8]",0.54190462845965,0.168449659759812,0.27611994625,0.8133971363
"z_s[9]",-0.395057622464425,0.212968275708651,-0.7388408148,-0.0623486603699998
"z_s[10]",0.7413476170175,0.167663187371329,0.4783686549,1.013209868
"z_s[11]",-0.57512240611235,0.241751742210708,-0.9644168028,-0.1961005873
"z_s[12]",-1.3655131248725,0.244680081040083,-1.773760484,-0.99517913885
"z_s[13]",2.84472595155,0.352943722046328,2.281271391,3.416565229
"z_s[14]",-1.3655667350225,0.295011878216424,-1.851461837,-0.9129395382
"z_s[15]",-0.0388244321422125,0.195304933806715,-0.34442981565,0.26877456605
"z_s[16]",1.1789425995625,0.236670683129252,0.8010390164,1.5634821575
"z_s[17]",0.416943981162388,0.169964979458615,0.15735702545,0.69331537625
"z_s[18]",-0.21019981878236,0.239201540397809,-0.5937374246,0.15287071365
"z_s[19]",0.671422331663,0.209563104876527,0.3411393183,1.0000006184
"z_s[20]",-0.437654695716975,0.177709681014425,-0.7220077632,-0.1597893999
"z_s[21]",0.309027277814625,0.201849048587936,-0.00725048080100002,0.6487308176
"z_s[22]",0.570314299067275,0.192812494766087,0.27195672875,0.8835208016
"z_s[23]",0.0379330283701743,0.187970888988517,-0.26096433875,0.3378276675
"z_s[24]",-0.441887585010083,0.173365875537674,-0.72194473735,-0.1690754164
"z_s[25]",-0.87835607848625,0.226670098075492,-1.2590796375,-0.53159037955
"z_s[26]",-0.126381926402935,0.187631581479803,-0.43161868845,0.17078138895
"z_s[27]",1.2049632712075,0.224324461323352,0.8444394663,1.55434404
"z_s[28]",-0.370500012373925,0.163343973584169,-0.6326140785,-0.11220437735
"z_s[29]",-1.88198057343,0.405321071113634,-2.5671784715,-1.271068516
"z_s[30]",-0.0878483962735815,0.202843073258842,-0.4133901414,0.22753512485
"z_s[31]",0.59796546444325,0.165611666714547,0.33268825945,0.86290398555
"z_s[32]",-0.10061786501419,0.241396359408162,-0.4937131041,0.2841280983
"z_s[33]",-0.6285084106015,0.224593532993848,-1.002540268,-0.28630646125
"z_s[34]",0.226588956419634,0.16645328984238,-0.03247452588,0.4888146916
"z_s[35]",-1.1012285379775,0.249412288812499,-1.5021003405,-0.71241726755
"z_s[36]",0.605422739887728,0.221483985068962,0.2473820343,0.9591230128
"z_s[37]",-0.1358817314059,0.224804029112763,-0.50502978965,0.2179293544
"z_s[38]",1.7584759417975,0.237440362846485,1.3817000785,2.152196546
"z_s[39]",0.0763766157179175,0.205593670888481,-0.2488551132,0.40293146575
"z_s[40]",-0.349792661187122,0.196747185760964,-0.66595785775,-0.036263641065
"z_gp[1]",-0.425466106062941,0.501247461735711,-1.2041770185,0.38215859725
"z_gp[2]",0.304497501705802,0.368646146573321,-0.28793110195,0.88806567875
"z_gp[3]",-0.112610295104787,0.374587887248206,-0.71154238125,0.47774308755
"z_gp[4]",-0.02432117925302,0.356139555419898,-0.5978564457,0.551428100850001
"z_gp[5]",-0.965078536472525,0.368517478991202,-1.605652963,-0.4318643612
"z_gp[6]",-0.65193359382283,0.64592123586607,-1.712725484,0.34438342585
"z_gp[7]",-0.420022426659793,0.326346715526976,-0.96011286725,0.0884937263500004
"z_gp[8]",-0.430538278593184,0.247903696929181,-0.82439488005,-0.041609477595
"z_gp[9]",-0.842319030538678,0.450031527347232,-1.5717145715,-0.1293884586
"z_gp[10]",-0.323154898346682,0.79559625137318,-1.6043876875,0.93890599215
"z_gp[11]",-0.519309848329632,0.470882584394424,-1.289707729,0.21460010425
"z_gp[12]",-0.69260813500705,0.366840261121128,-1.301347112,-0.1320197151
"z_gp[13]",-0.0989133907959825,0.639768975292308,-1.092734604,0.95391284915
"z_gp[14]",-1.36054664091802,0.811723279486905,-2.689076195,-0.0943900093049999
"z_gp[15]",0.123398156935258,1.03134352693844,-1.5307102265,1.8410461015
"z_gp[16]",0.527634959856793,0.482463689919064,-0.24001997855,1.294722244
"z_gp[17]",-0.588676592611188,0.319075370291006,-1.0923941755,-0.07884075244
"z_gp[18]",1.447613002811,0.480884648730863,0.7388239911,2.2526193635
"z_gp[19]",-0.56131499698602,0.735076207266068,-1.725294003,0.587116978950001
"z_gp[20]",0.438849462127502,0.418903536436827,-0.20451620825,1.1080018305
"z_gp[21]",-0.00267046357284853,0.50265223823409,-0.85334185455,0.7353000528
"z_gp[22]",2.4893529633875,0.598229810924251,1.5459433195,3.434782057
"z_gp[23]",-0.32672837554359,0.596228506187812,-1.2972726155,0.605470577050001
"z_gp[24]",0.09583999749613,0.353209129210303,-0.4754051677,0.646551720600001
"z_gp[25]",1.6718065040975,0.423520930148999,1.021147698,2.3686716775
"z_gp[26]",-0.19614998507935,0.81060056942329,-1.5038192825,1.0588993495
"z_gp[27]",0.243213696788937,0.487562452011505,-0.535403621,0.989685298700001
"z_gp[28]",-0.351843270113895,0.35730701049922,-0.9457533647,0.1734513265
"z_gp[29]",1.17886173755685,0.481194388798653,0.4337018463,1.9695409525
"z_gp[30]",-0.71659446143281,0.500446330251866,-1.5129470305,0.0809054211100001
"z_gp[31]",-0.482902437505635,0.376453545899544,-1.0806684105,0.12934560355
"z_gp[32]",1.03686841486582,0.41784820229185,0.37945265385,1.7112359425
"z_gp[33]",0.83566170844901,0.561162888276636,-0.04308595119,1.740638031
"z_gp[34]",-0.754781752952832,0.470109360636158,-1.529880845,-0.0481628508499999
"z_gp[35]",-1.04216161190087,0.47989629213294,-1.8630868535,-0.3316845284
"z_gp[36]",-0.308421151182387,0.603028958993456,-1.29200356,0.6151859229
"z_gp[37]",0.0548309731178015,0.504281161786225,-0.71079054715,0.9017474397
"z_gp[38]",-0.36538950453966,0.520765160977531,-1.2181241675,0.446620668650001
"z_gp[39]",0.5476267106306,0.615851276800179,-0.4560572168,1.493921773
"z_gp[40]",-1.99163506713075,0.728448958985126,-3.1760036135,-0.84118864315
"z_gl[1]",-1.27651637214575,0.601659770048569,-2.2383908405,-0.29978925575
"z_gl[2]",0.0163346323694145,0.478836985020271,-0.73381050855,0.80990550335
"z_gl[3]",0.133063032324944,0.450181335012133,-0.5666252606,0.8675202022
"z_gl[4]",0.440217569419898,0.403893927831612,-0.1740492861,1.1160707485
"z_gl[5]",0.0254240593430453,0.262725917109975,-0.39580953045,0.46199621455
"z_gl[6]",0.14934601006259,0.568874746771666,-0.76762235745,1.057197418
"z_gl[7]",-0.677548910077287,0.311715073565566,-1.1889369065,-0.1790466574
"z_gl[8]",-0.193856572047372,0.220926661285589,-0.54925105465,0.1470010983
"z_gl[9]",1.6902919836125,0.367414732328704,1.126994997,2.282060544
"z_gl[10]",-0.93122292876358,0.682835163349014,-2.034443187,0.1359094277
"z_gl[11]",0.398648070131145,0.421157140344117,-0.28453436025,1.070581183
"z_gl[12]",0.13484278891088,0.336686730037894,-0.4074567103,0.66152729595
"z_gl[13]",-0.866426160874796,0.605498179977801,-1.8409467635,0.0986911579450003
"z_gl[14]",0.637948059791005,0.661362638302942,-0.45076206655,1.6713339005
"z_gl[15]",-0.0754726306879805,0.980782227833464,-1.6488877455,1.504521828
"z_gl[16]",0.331850647042835,0.454990747748484,-0.37761234255,1.0777893705
